Date,Close,High,Low,Open,Volume,Laba_Bersih
2015-04-01,2316.498046875,2332.123666078204,2308.685237273398,2324.310856476602,42093500,52304510.0
2015-04-02,2312.592041015625,2332.124068389068,2300.8728245915595,2332.124068389068,42424000,52304510.0
2015-04-06,2371.1875,2414.15794892916,2308.685028830313,2312.5914332784187,71232500,52304510.0
2015-04-07,2390.7197265625,2437.5965839460787,2386.8133217805357,2418.064560036254,58844000,52304510.0
2015-04-08,2347.74951171875,2367.281537606593,2328.2174858309068,2355.562322073887,86916000,52304510.0
2015-04-09,2355.561767578125,2375.093788868159,2336.029746288091,2355.561767578125,68708000,52304510.0
2015-04-10,2351.655029296875,2378.999855218932,2336.029414484271,2375.0934515157805,56706000,52304510.0
2015-04-13,2347.74951171875,2355.562322073887,2339.9367013636124,2347.74951171875,41635500,52304510.0
2015-04-14,2336.02978515625,2363.3746154172763,2332.1233808332463,2343.8425938022574,80112500,52304510.0
2015-04-15,2304.77880859375,2336.030046676377,2289.1531895524363,2328.2172371557203,108377000,52304510.0
2015-04-16,2328.216796875,2332.123200896602,2293.0591606805788,2312.5911807885905,93601500,52304510.0
2015-04-17,2320.038330078125,2343.6319402145127,2320.038330078125,2343.6319402145127,129331500,52304510.0
2015-04-20,2312.173583984375,2343.6317279841624,2300.3767799844545,2312.173583984375,57051500,52304510.0
2015-04-21,2343.631103515625,2359.3601713244548,2312.172967897965,2316.105234850173,101934500,52304510.0
2015-04-22,2339.698974609375,2351.495776162027,2331.83444024094,2351.495776162027,80424500,52304510.0
2015-04-23,2343.631103515625,2359.3601713244548,2339.698836563417,2351.49563742004,45916500,52304510.0
2015-04-24,2343.631103515625,2359.3601713244548,2335.76656961121,2343.631103515625,51549000,52304510.0
2015-04-27,2233.52783203125,2335.7667820890183,2206.001960861851,2327.90224746919,214693500,52304510.0
2015-04-28,2209.934814453125,2233.5284245718417,2186.3412043344083,2217.799351159364,145994000,52304510.0
2015-04-29,2123.425048828125,2202.0704210069443,2076.237825520833,2202.0704210069443,289103500,52304510.0
2015-04-30,2119.491943359375,2154.882346866303,2029.0498010638917,2091.966073965097,201869500,52304510.0
2015-05-04,2158.814697265625,2178.4760333062954,2115.5597579761497,2119.492025184284,87705000,52304510.0
2015-05-05,2178.476806640625,2190.2736124527582,2150.950926412314,2162.747732224447,90141500,52304510.0
2015-05-06,2154.8828125,2166.679616218066,2135.221472969891,2162.747348312044,150119000,52304510.0
2015-05-07,2154.8828125,2166.679616218066,2135.221472969891,2139.1537408759123,55087000,52304510.0
2015-05-08,2166.679443359375,2182.40851372859,2150.95037299016,2162.7471757670714,56698000,52304510.0
2015-05-11,2154.8828125,2174.5441520301097,2143.086008781934,2170.611884124088,67537000,52304510.0
2015-05-12,2158.814697265625,2174.543766098161,2139.1533612249546,2143.0856284330885,54424500,52304510.0
2015-05-13,2158.814697265625,2170.611498890027,2147.017895641223,2147.017895641223,68930000,52304510.0
2015-05-15,2127.356689453125,2166.679363934699,2107.6953522123385,2158.814829038384,102469000,52304510.0
2015-05-18,2139.15380859375,2143.086076624253,2127.35700450224,2139.15380859375,43827000,52304510.0
2015-05-19,2147.01806640625,2178.4762065733744,2131.288996322688,2143.0857988853595,52107000,52304510.0
2015-05-20,2182.408203125,2206.001805320946,2154.882333896396,2166.679134994369,58482500,52304510.0
2015-05-21,2221.7314453125,2261.054125760509,2186.341032909292,2194.205568998894,63650000,52304510.0
2015-05-22,2257.121826171875,2280.715434110953,2217.7991462734103,2241.392754212489,63902500,52304510.0
2015-05-25,2249.257080078125,2261.053882945668,2241.3925448330965,2257.121615323153,39425000,52304510.0
2015-05-26,2257.121826171875,2280.715434110953,2225.663682253103,2233.528218232796,117738500,52304510.0
2015-05-27,2241.392578125,2264.9861842105265,2241.392578125,2257.1216488486843,79384000,52304510.0
2015-05-28,2225.66357421875,2241.392645414642,2209.934503022858,2217.799038620804,36940000,52304510.0
2015-05-29,2221.7314453125,2249.257321626106,2213.8669092228984,2237.460517491704,111287500,52304510.0
2015-06-01,2221.7314453125,2221.7314453125,2194.205568998894,2202.0701050884954,24317000,82397260.0
2015-06-03,2139.15380859375,2206.0023651123047,2119.492468441234,2202.0700970818016,159175000,82397260.0
