Periode;Total Aset (Jutaan Rp);Kredit yang Diberikan (Jutaan Rp);Laba Bersih (Juataan Rp);Dana Pihak Ketiga (Giro+Tab+Dep)
Jan-16;583.816.752;376.838.859;1.649.407;471.676.290
Dec-15;574.353.020;371.818.951;16.635.391;462.424.965
Nov-15;574.353.020;371.818.951;16.635.391;462.424.965
Oct-15;562.038.734;367.670.339;567.038.734;457.763.163
Sep-15;573.166.358;364.920.826;12.919.541;462.296.165
Aug-15;569.985.436;358.988.534;11.724.925;426.401.443
Jul-15;564.430.586;350.242.816;10.025.134;461.330.926
Jun-15;560.246.432;347.099.638;8.239.726;455.023.904
May-15;549.832.933;342.177.429;6.839.635;448.336.355
Apr-15;546.361.243;339.048.775;5.230.451;444.446.888
Mar-15;545.743.243;355.611.308;3.788.379;445.123.198
