loss,val_loss
0.022963466122746468,0.0010037471074610949
0.0042691342532634735,0.0006932239630259573
0.0030597401782870293,0.0010154838673770428
0.0024098374415189028,0.0006664740503765643
0.001971782650798559,0.00045745313400402665
0.0017733363201841712,0.0009849127382040024
0.0016620776150375605,0.00040522566996514797
0.001414009602740407,0.0006058206781744957
0.0012513684341683984,0.00042035829392261803
0.0013464582152664661,0.0006169998086988926
0.0013774706749245524,0.00037998572224751115
0.00131493981461972,0.0009924557525664568
0.001191541668958962,0.00046140459016896784
0.0012252883752807975,0.0003695226041600108
0.0010698138503357768,0.00039835329516790807
0.0010328737553209066,0.00038564432179555297
0.0010714783566072583,0.0003655937616713345
0.0010617546504363418,0.0003666316333692521
0.0010070843854919076,0.0017197579145431519
0.0011142408475279808,0.0017224501352757215
0.0009528674418106675,0.00046732142800465226
0.0008905154536478221,0.0008052284247241914
0.000973452057223767,0.000338693440426141
0.0009116873261518776,0.0005699219764210284
0.0009098235168494284,0.0004413084825500846
0.0008631101809442043,0.0003812606446444988
0.0007782940519973636,0.0004261961439624429
0.0007659224793314934,0.00034241017419844866
0.0007985499105416238,0.0006901427987031639
0.0007968668942339718,0.0003878053976222873
0.0007545938715338707,0.0003791948256548494
0.0008551368955522776,0.00033067079493775964
0.0007429889519698918,0.0003535728028509766
0.000789099489338696,0.0003456322301644832
0.0006855243118479848,0.00040695478674024343
0.0007109378930181265,0.00036535278195515275
0.0007055973401293159,0.0005032089538872242
0.0006587300449609756,0.0005578307900577784
0.0007146441494114697,0.000952947128098458
0.000636462471447885,0.00046381697757169604
0.0007056748727336526,0.0004570118908304721
0.0005969845806248486,0.0005307257524691522
0.0005817567580379546,0.0005479506799019873
0.0005484626162797213,0.0003299390082247555
0.0006141343619674444,0.00043703411938622594
0.0006587514071725309,0.00034817520645447075
0.0005449005984701216,0.000924656807910651
0.0006104012718424201,0.0007044742233119905
0.0005318583571352065,0.0003845551691483706
0.0005172846140339971,0.0003488887450657785
